Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
5,AZ-BATH,Bath House,SAN BERNARDINO NATIONAL WILDLIFE REFUGE,SBR,,2,,,AZ,,,,31.33695,-109.27215,,,,
5,AZ-BKDW,Black Draw Wash,SAN BERNARDINO NATIONAL WILDLIFE REFUGE,SBR,,2,,,AZ,,,,31.34059,-109.26419,,,,
5,AZ-CARP,Carpenter Tank,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.52818,-111.45422,,,,
5,AZ-FISH2,FISH TANK #2,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.63932,-111.46446,,,,
5,AZ-HIPPY,HIPPY TANK,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.70675,-111.46666,,,,
5,AZ-KNW01,Horse Tank 1 (main),Kofa National Wildlife Refuge,KNW,,2,,,AZ,,,,33.21122,-114.20548,,,,
5,AZ-KNW02,Grey Tank 2 (lower),Kofa National Wildlife Refuge,KNW,,2,,,AZ,,,,33.20784,-114.20024,,,,
5,AZ-KNW03,Grey Tank 3 (south),Kofa National Wildlife Refuge,KNW,,2,,,AZ,,,,33.2077,-114.19875,,,,
5,AZ-KNW04,Horse Tank 2 (lower),Kofa National Wildlife Refuge,KNW,,2,,,AZ,,,,33.21127,-114.20506,,,,
5,AZ-MIDDL,MIDDLE TANK,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.69016,-111.46977,,,,
5,AZ-MKLY,Minckley Pond,SAN BERNARDINO NATIONAL WILDLIFE REFUGE,SBR,,2,,,AZ,,,,31.34327952,-109.2642953,,,,
5,AZ-NO45,NO45,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.53583,-111.26576,,,,
5,AZ-RDSID,Roadside Pond,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.64197,-111.466,,,,
5,AZ-RNDHL,Roundhill #3,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.64998,-111.47178,,,,
5,AZ-ROCK,ROCK TANK,BUENOS AIRES NATIONAL WILDLIFE REFUGE,BAR,,2,,,AZ,,,,31.58463,-111.46218,,,,
,AZ-WOOD,Woodland Lake Park,Woodland Lake Park,,,,,,AZ,,,,34.12484,-109.94888,,,,
5,AZ-WPHD,WPHD,SAN BERNARDINO NATIONAL WILDLIFE REFUGE,SBR,,2,,,AZ,,,,31.336,-109.272806,,,,
1,BARN,Barn,Silver Oaks Ostrich Farm,SO,Private,,Gilroy,Santa Clara,CA,,,,37.09375,-121.740349,206,Pond,Permanent,Artificial
,BARNBOR,BarnBorr,Blue Oaks Ranch Reserve,BOR,UC-Berkeley,,,Santa Clara,CA,,,,37.383361,-121.738209,,,Temporary,
1,BASSGCP,Bass,Joseph Grant County Park,GCP,Santa Clara County Parks,,Alum Rock,Santa Clara,CA,,,,37.332997,-121.702136,526,Pond,Permanent,Artificial
